abilities,advances_from,advances_to,alignment,cost,hp,unit,level,moves,xp,description,unit_page,unit_id
‒,drake_clasher,drake_warden,lawful,31,62,drake_arbiter,2,5,105,"Arbiters take their caste duty of enforcing order very seriously. In order to better execute their duties, they have abandoned the drakes’ traditional hand-mounted claws and traded their spears for the spike and blade of the halberd. In their minds, the loss of maneuverability is a fair price for the raw heft the massive metal head provides. The thick plate these drakes wear protects them well against weapons that could slip between their scales.
Special Notes: The length of this unit’s weapon allows it to strike first in melee, even in defense.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Arbiter.html,11
‒,drake_arbiter,‒,lawful,46,82,drake_warden,3,5,150,"Wardens are set apart from the rest of the Clasher caste by two things: their ornate helms, modeled after their dragon ancestors, and the care with which they drape their armored wings in brightly colored cloth before reporting for duty. Though this mode of dress stems from the pride they feel for their role in drake society, it is far from ceremonial. Their cumbersome bronze plate is the strongest work from the Drake forges, and their halberds can cleave a human in half.
Special Notes: The length of this unit’s weapon allows it to strike first in melee, even in defense.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Warden.html,12
‒,drake_clasher,drake_enforcer,lawful,31,66,drake_thrasher,2,5,95,"Instead of letting themselves be bound by their armor, Thrashers have learned to redirect its weight to supplement their bodies’ momentum, adding power to the blows of their short spears and hand-mounted claws. Equipment and body are one; even their thick helms and the thick skulls beneath them are weapons. A Thrasher will gladly fulfill his caste duties, as long as it can be done on the battlefield.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Thrasher.html,13
‒,drake_thrasher,‒,lawful,44,85,drake_enforcer,3,5,150,"Not for Enforcers are the tactics of maneuver and deception; rather, they charge in wherever the melee is the fiercest. At close range, it matters little that their armor prevents them from spouting flame; all that matters is the power they’ve learned to focus in each strike. Drake leaders are careful not to besmirch the honor of the Enforcers, and generally call upon them to combat only the most pernicious of enemies.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Enforcer.html,14
‒,‒,drake_warrior,lawful,17,39,drake_fighter,1,6,42,"Drake Fighters wield curved war blades, and possess the fire-breathing skills of their ancestors. They can also fly, which is troubling to any foe. Their great strength, coupled with their hardened scales, is rightly frightening to swordsman of any other race.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Fighter.html,15
‒,drake_fighter,drake_blademaster,lawful,30,60,drake_warrior,2,6,70,"Drakes of the Fighter caste, like the Warrior, are the foundation of any tribe’s army. No special abilities or skills set them apart; only their natural brute strength and military training help them carve their way through enemy forces. They fight as they have for centuries, clad in ceramic-plated leather with the traditional war blade mounted on the back of each hand.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Warrior.html,16
‒,drake_warrior,‒,lawful,47,80,drake_blademaster,3,6,150,"Black armor marks the elite order of the Fighter caste: the Blademasters. Only a few manage to gain the skill and power necessary to be admitted to this highest rank without perishing in battle. Though other drakes may disparage the Fighter caste, they always check twice to be sure none are around; Blademasters fiercely protect their fellows’ honor, and no-one would dispute their right to do so.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Blademaster.html,17
‒,‒,sky_drake,lawful,16,32,drake_glider,1,8,35,"Many drakes enjoy the flow of air over scales, leading them to don the light robes of the Glider caste. The long forays to the far reaches of the tribal territory are their passion, though other drakes often wonder what could lead someone to take on the drudgery of hunting when more glory could be found on the battlefield.
Most often, Gliders hunt larger game like deer, swine, or dolphins; the drakes’ ancestral ability to aim fire, hampered in other castes by armor, is invaluable for flushing and herding the quarry without harming it. If a Glider is called to the battlefield, he prefers to harass the enemy from a distance – and if all else fails, he will fight with his feet, keeping his precious wings as far from the enemy as possible.
Special Notes: This unit’s marksmanship gives it a high chance of hitting targeted enemies, but only on the attack.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Glider.html,18
‒,drake_glider,hurricane_drake,lawful,30,45,sky_drake,2,9,80,"The lightweight ceramic armor that the Sky Drakes wear is a symbol of their rank, glazed silver to honor their connection to the air. As leaders of the hunt, they are often away from their homes for long periods of time. Each tries to bring as much game home as possible, competing to gain the respect of their tribe and, just possibly, time with one of the closely-guarded drake females.
Special Notes: This unit’s marksmanship gives it a high chance of hitting targeted enemies, but only on the attack.",https://units.wesnoth.org/1.14/mainline/en_US/Sky%20Drake.html,19
‒,sky_drake,‒,lawful,43,58,hurricane_drake,3,9,150,"Hurricane Drakes have moved above the menial hunting and gathering to which the lower members of their caste are relegated. They are an integral part of the drakes’ military, scouting ahead of the main forces, carrying messages across the battlefield, and falling upon the enemy where it’s least expected. Being allowed—grudgingly—to train with the newcomers from other castes has increased their skill in combat, but their greatest strength still lies in their speed and flight.
Special Notes: This unit’s marksmanship gives it a high chance of hitting targeted enemies, but only on the attack.",https://units.wesnoth.org/1.14/mainline/en_US/Hurricane%20Drake.html,20
‒,‒,dune_scorcher,lawful,19,31,dune_burner,1,5,44,"Utilizing various resources found in the Dunefolk domain, a highly flammable substance can be made. The Burners are those charged with making and carrying this dangerous mixture into battle. While the use of fire in warfare is not a novel concept, the effectiveness of their work is.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Burner.html,21
‒,dune_burner,dune_firetrooper,lawful,35,44,dune_scorcher,2,5,70,"Scorchers spend so much time experimenting with their weapons that they smell constantly of ash and flame. Regarded with wariness by their fellow troops, Scorchers can be easily located in battle by the cleared charred area around them, a testament to the success of their experiments.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Scorcher.html,22
‒,dune_scorcher,‒,lawful,50,51,dune_firetrooper,3,5,150,"Scorchers who have shut out the world for their experiments are given the title of Firetrooper, as both a sign of respect and of fear. No longer cognizant of the value of life, Firetroopers are caught up in the power of their caged fire and likely to test their latest naphtha jar at the first opportunity.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Firetrooper.html,23
heals++8,‒,dune_apothecary,liminal,17,26,dune_herbalist,1,5,39,"Herbalists are learned individuals who have given up their urban life in order to assist the Dunefolk armies in their travels. Their motivations are many; some look to it as an adventure or as a steady source of pay, while others feel it to be a duty to their society. Regardless, Herbalists are highly respected by all. They are trained with the advanced medical techniques and possess a potent clutch of medicines and herbs, which allows them to quickly heal even the most gravely wounded allies.
Special Notes: This unit is capable of rapid healing.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Herbalist.html,24
"cures,heals++8,regenerates",dune_herbalist,‒,liminal,33,39,dune_apothecary,2,5,100,"Some men excel at medicine the way others do at strength of arms, and the Apothecaries are those whose knowledge is without peer outside of the Dunefolk. Their remedies can not only heal wounds but remove infection and poison as well, often to the disbelief of the injured. Hardened by years of travels, many are able to treat themselves.
Special Notes: This unit is capable of healing those around it, and curing them of poison. This unit regenerates, which allows it to heal as though always stationed in a village.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Apothecary.html,25
‒,‒,"dune_sunderer,dune_raider",lawful,21,38,dune_piercer,1,6,42,"The Piercer understand the psychological impact of a charging horse, and reinforce this by cladding themselves in heavy armor. Majestic at rest, a Piercer at the charge with lance in hand is often impetus enough to break men. On the rare occurrences that their charge fails to rout their foe, the Piercer ride into the resulting melee with their maces in hand, trusting their armor to keep them safe.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Piercer.html,26
‒,"dune_piercer,_dune_rider",dune_marauder,lawful,34,48,dune_raider,2,7,70,"Those horsemen who are not skilled enough to join the ranks of the Sunderers or quick enough with a bow for the Swiftriders are instead placed with the Raiders. Far from being a sign of failure, the Raiders were created as a mounted counterpart to the Explorers, supporting the foot troops with mace or bow as needed. Raiders are often used to draw enemies into a position where they will be surrounded and crushed by Sunderers.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Raider.html,27
‒,dune_raider,‒,lawful,52,57,dune_marauder,3,7,150,"Those Raiders who prove to be particularly skilled are formed into units of Marauders, which are often used to raid enemy depots and towns for supplies. This greater autonomy often means that these horsemen are gone for weeks at a time, returning to camp only for supplies and to pass on news of their exploits.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Marauder.html,28
‒,dune_piercer,dune_cataphract,lawful,40,50,dune_sunderer,2,6,70,"Those Piercers who distinguish themselves in battle are given the opportunity to prove themselves worthy of becoming a Sunderer. Those who pass the trial are given the traditional barding for their horse, distinguishing them from the rest of the Dunefolk cavalry. Consummate horsemen, the Sunderers have long claimed they need only a single lance strike to kill a man.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Sunderer.html,29
‒,dune_sunderer,‒,lawful,61,65,dune_cataphract,3,6,150,"The Cataphract are eminent horsemen, amassing titles and accolades that are as distinguishing for them as the scrollwork on their armor. Having honed their skill with a lance in years of battle, the Cataphract are an unstoppable force of nature. Fleeing enemies swiftly discover that hills do not deter these riders in the slightest, and the displaced air of a descending mace is the last sound they hear.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Cataphract.html,30
‒,‒,"dune_raider,dune_swiftrider",liminal,16,34,dune_rider,1,7,42,"Riders are excellent horsemen, able to shoot from horseback better than most men can manage from foot. Disdaining the use of heavy armor, Riders use their superior speed and agility to circle and harass their foes, whittling down their numbers with relentless arrows.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Rider.html,31
‒,"dune_piercer,_dune_rider",dune_marauder,lawful,34,48,dune_raider,2,7,70,"Those horsemen who are not skilled enough to join the ranks of the Sunderers or quick enough with a bow for the Swiftriders are instead placed with the Raiders. Far from being a sign of failure, the Raiders were created as a mounted counterpart to the Explorers, supporting the foot troops with mace or bow as needed. Raiders are often used to draw enemies into a position where they will be surrounded and crushed by Sunderers.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Raider.html,32
‒,dune_raider,‒,lawful,52,57,dune_marauder,3,7,150,"Those Raiders who prove to be particularly skilled are formed into units of Marauders, which are often used to raid enemy depots and towns for supplies. This greater autonomy often means that these horsemen are gone for weeks at a time, returning to camp only for supplies and to pass on news of their exploits.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Marauder.html,33
‒,dune_rider,dune_windrider,liminal,35,39,dune_swiftrider,2,8,64,"Riders who demonstrate exceptional skill with the bow are made into Swiftriders, spending hours every day practicing and building a rapport with their steed. This has made them the fastest riders in the Dunefolk armies, and a wise Warmaster uses this to their advantage.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Swiftrider.html,34
‒,dune_swiftrider,‒,liminal,50,47,dune_windrider,3,8,150,"The elite of the Swiftriders are the Windriders, horse archers of such speed and dexterity that rumors are always spread that they have elven blood. Irritated at such mystical nonsense, the Windriders can frequently be found demonstrating their exceptional skill at the forefront of battle, riding with great speed through the lines of battle to rain arrows down upon the enemy.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Windrider.html,35
‒,‒,"dune_skirmisher,dune_explorer",liminal,15,32,dune_rover,1,6,44,"Rovers in many ways represent the ideal Dunefolk unit; flexible, mobile, equally effective in defense and offense as well as in ranged or close combat. They are most comfortable operating in terrain and environments common to them; the deserts and hills of their southern lands. Moreover they fight best at dawn or dusk, corresponding to the time when desert temperatures are the most reasonable.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Rover.html,36
‒,dune_rover,dune_ranger,liminal,35,50,dune_explorer,2,6,80,"Explorers are often utilized as heavy scouts, no longer just probing the enemy but conducting raids on the supply lines or eliminating patrols. Often away from the main body of the army for long periods of time, Explorers have no issue pilfering these supplies, and so they tend to be more well-equipped than most.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Explorer.html,37
‒,dune_explorer,‒,liminal,52,65,dune_ranger,3,6,150,"Rangers are the elite of the Explorers, engaging in constant hit and run attacks against an enemy army. Nimble as a goat and strong as a ram, they prefer to coordinate multiple attacks at the same time, sending foes running from their arrows only to be cut down by their axes. Given their penchant for taking on only the most daring missions, Rangers are often heroes to the common troopers, an image they do not try to dissuade.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Ranger.html,38
skirmisher,dune_rover,dune_harrier,liminal,35,46,dune_skirmisher,2,6,65,"Those Rovers who are proficient at scouting are elevated into the ranks of the Skirmishers. Discarding their bow, Skirmishers focus on developing their swiftness of foot to allow them to flow in and out of combat. They are often used to harry the flanks of opposing forces, and it is said to be easier to catch the wind in your hand than to catch a Skirmisher.
Special Notes: This unit’s skill at skirmishing allows it to ignore enemies’ zones of control and thus move unhindered around them.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Skirmisher.html,39
skirmisher,dune_skirmisher,‒,liminal,56,58,dune_harrier,3,6,150,"Harriers hold themselves to a higher standard than the ranks of the Skirmishers from which they ascended. Not content to merely draw the enemy out, they combine their speed with an aggression that sends the Harriers dancing through the ranks of the enemy, swords ripping and tearing at those around them. 
Special Notes: This unit’s skill at skirmishing allows it to ignore enemies’ zones of control and thus move unhindered around them.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Harrier.html,40
‒,‒,"dune_swordsman,dune_spearguard",lawful,18,40,dune_soldier,1,5,47,"The Soldier forms the backbone of any Dunefolk foot advance. Many come from noble or military families, and have spent most of their lives training their craft. Given their intense focus on swordplay, they are often sent against fortified enemy positions to create a breach for the remaining troops to exploit. The sight of Soldiers on the march, shields high, has caused many a defender to worry about the strength of their walls.
Special Notes: This unit’s marksmanship gives it a high chance of hitting targeted enemies, but only on the attack.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Soldier.html,41
‒,dune_soldier,dune_spearmaster,lawful,38,58,dune_spearguard,2,5,75,"Although the Dunefolk armies are known for their astonishing mobility and fierce attack, they can be able defenders. Spearguard excel at holding their ground, keeping opponents at bay with long, razor sharp spears. Their preferred strategy is to gradually wear down enemies, until they can be defeated in a vicious counter stroke.
Special Notes: The length of this unit’s weapon allows it to strike first in melee, even in defense.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Spearguard.html,42
‒,dune_spearguard,‒,lawful,51,70,dune_spearmaster,3,5,150,"Spread across the Dunefolk's lands are lonely towers and garrisons that provide shelter to caravans and locals from bandits and monsters. These bastions are defended by the most determined of soldiers, who have often faced off against overwhelming odds only to repel the invaders. In an army they can be trusted to hold any position or line, long after lesser soldiers and men have fled in terror.
Special Notes: The length of this unit’s weapon allows it to strike first in melee, even in defense.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Spearmaster.html,43
‒,dune_soldier,dune_blademaster,lawful,38,58,dune_swordsman,2,5,75,"Armed with their sword and shield, Swordsman are warriors of some renown among the Dunefolk armies. They have further refined their combat arts, adding a powerful shield bash to knock back unsuspecting enemies. Though few in number, their presence can be decisive in dislodging even the most hardened redoubt.
Special Notes: This unit’s marksmanship gives it a high chance of hitting targeted enemies, but only on the attack. This unit is able to slow its enemies, halving their movement speed and attack damage until they end a turn.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Swordsman.html,44
‒,dune_swordsman,‒,lawful,52,70,dune_blademaster,3,5,150,"Distinguished for their bravery and skill, Blademasters are the leaders among the Dunefolk's ranks. Their exploits are well known among their cohorts, inspiring soldiers to fight for their cause. Despite this, they are often found leading from the front, taking down their foes with sword and shield.
Special Notes: This unit’s marksmanship gives it a high chance of hitting targeted enemies, but only on the attack. This unit is able to slow its enemies, halving their movement speed and attack damage until they end a turn.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Blademaster.html,45
‒,‒,‒,lawful,78,82,dune_warmaster,4,5,200,"Among every generation, a warrior elevates himself above his peers and foes; They seem to be able to alter the destiny of the world themselves. Often given the name Warmaster, these individuals are celebrated for their strength and skill. Their travels and travails are told endlessly around the campfire with the reverent tones of those that speak of living legends.
Special Notes: This unit’s marksmanship gives it a high chance of hitting targeted enemies, but only on the attack. This unit is able to slow its enemies, halving their movement speed and attack damage until they end a turn.",https://units.wesnoth.org/1.14/mainline/en_US/Dune%20Warmaster.html,46
‒,‒,‒,neutral,80,54,dwarvish_arcanister,4,4,200,"The most powerful of all the runecrafters, the Dwarvish Arcanister destroys wounded enemies almost instantly, and rarely fails to cause a wound when that is his intent. His skill in runecrafting is unrivaled, and the glyphs he carves into his weapons and armor deflect the blows of his enemies.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Arcanister.html,47
‒,‒,dwarvish_steelclad,neutral,16,38,dwarvish_fighter,1,4,41,"Dwarvish Fighters wield mighty battle axes and hammers, which make them feared opponents in close-range combat. They are excellent in mountainous terrain or underground. Their power and endurance more than compensate for their relatively poor mobility.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Fighter.html,48
‒,dwarvish_fighter,dwarvish_lord,neutral,32,59,dwarvish_steelclad,2,4,74,"Outfitted in the strongest plate and mail of Knalgan forges, the Steelclads are the vanguard of dwarvish armies. They are renowned for their resilience in the heat of battle, and their mastery of both battleaxe and warhammer make them imposing foes indeed.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Steelclad.html,49
‒,dwarvish_steelclad,‒,neutral,50,79,dwarvish_lord,3,4,150,"Clad in shining armor, these dwarves look like kings from under the mountains. They wield axe and hammer with masterful skill, and can hit a target with a thrown hand axe at several paces. Though slow on their feet, these dwarves are a testament to the prowess of their kin.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Lord.html,50
steadfast,‒,dwarvish_stalwart,neutral,19,42,dwarvish_guardsman,1,4,47,"The dwarven race has always been famed for its sturdiness of build, and many of their warriors outfit themselves to take advantage of this. Dwarven guardsmen march into battle with tower shields and spears. Most often, their role is to hold the line, and to take a heavy toll on those who try to break it. As the line marches forward, they act to secure its hard-won advance.
Special Notes: The steadiness of this unit reduces damage from some attacks, but only while defending.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Guardsman.html,51
steadfast,dwarvish_guardsman,dwarvish_sentinel,neutral,32,54,dwarvish_stalwart,2,4,85,"The wiles of experience and training turn guardsmen into worthy soldiers. These stalwart troops are equipped to match their skills, and can hold their ground against all but the most visceral assault. It is a dangerous thing to lose a foothold to one such as these, for it will not be easily reprised.
Special Notes: The steadiness of this unit reduces damage from some attacks, but only while defending.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Stalwart.html,52
steadfast,dwarvish_stalwart,‒,neutral,44,68,dwarvish_sentinel,3,4,150,"Champions among their fellow troops, the dwarven sentinels form the bulwark of their battle lines. Leading a direct assault against a line that they fortify, is often out of the question; it tends toward being suicidal, rather than merely ineffectual. These dwarves are masters of the melee, and can hold a patch of earth with the single-minded tenacity of an oak.
Special Notes: The steadiness of this unit reduces damage from some attacks, but only while defending.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Sentinel.html,53
‒,‒,dwarvish_runemaster,neutral,30,40,dwarvish_runesmith,2,4,86,"Dwarvish runesmiths, now practiced at their craft, carve arcane runes into their weapons and armor. These runes infuse the runesmith’s blows with power and accuracy, and disrupt the blows of their enemies, causing them to strike softly, weakly and on the armor of the defender.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Runesmith.html,54
‒,dwarvish_runesmith,‒,neutral,50,48,dwarvish_runemaster,3,4,150,"Except for those with almost supernatural skill, the highest rank a runecrafter can rise to is that of the Dwarvish Runemaster. Striking blows nearly as powerful as those of the best warriors, they would be fearsome without their craft, but with it they are also nigh on invincible, since their runes cause the physical blows of their enemies to deal less damage than would be expected.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Runemaster.html,55
‒,‒,dwarvish_pathfinder,neutral,18,30,dwarvish_scout,1,5,30,"Although the dwarves cannot match the taller races in a sprint, when unencumbered by heavy armor their tremendous stamina and endurance allows them to match all but the fastest on foot. Dwarvish Scouts use this to their advantage, ranging ahead of the main force and reporting back on troop movements and dispositions, or securing important objectives. Outside of battle, they are often used to relay messages between dwarvish communities. However, they pay for their speed with the poorer protection provided by their lighter armor.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Scout.html,56
‒,dwarvish_scout,dwarvish_explorer,neutral,30,42,dwarvish_pathfinder,2,5,60,"These hardy dwarves are sometimes away from their caves for long periods, scouting and patrolling the borders. They spend this time watching for invaders, and fighting bandits and thieves who encroach on dwarvish territory. They are powerful fighters in a melee, and from a distance their deftly thrown axes can rival the power and accuracy of a human archer.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Pathfinder.html,57
‒,dwarvish_pathfinder,‒,neutral,45,60,dwarvish_explorer,3,5,150,"Dwarvish Explorers are peerless survivalists. Using only the equipment they carry, they can range for months around the forests and mountains looking for new seams of ore and deposits of minerals. Whilst their skill in a melee is less than some other dwarves, they are unmatched with throwing axes, having practiced this skill hunting in the mountains. Their maneuverability makes them dangerous and tricky foes.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Explorer.html,58
‒,‒,dwarvish_thunderguard,neutral,17,34,dwarvish_thunderer,1,4,40,"When the men of Wesnoth first encountered the dwarves, they were mystified by the power of the Dwarvish Thunderers, who were able to hurl death from afar through the apparatus of these strange wands they carried into battle. The deafening noise of these ‘thundersticks’ is terrifying to behold, and is made more so by the secrecy which dwarves wrap about their workings.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Thunderer.html,59
‒,dwarvish_thunderer,dwarvish_dragonguard,neutral,30,44,dwarvish_thunderguard,2,4,95,"The Dwarven Thunderguards are famed for their curious weaponry, these strange staves of wood and iron that make a thunderous noise in their anger. The machinations behind this weaponry are a mystery, a secret taken to the grave by the dwarves of Knalga who wield them, and are assumed to have even forged them. The most that is known are reports of dwarves pouring a strange black dust into the mouth of their weapons, which some say is a food to fuel the beast imprisoned within.
Though a single shot from these ‘thundersticks’ can take several minutes to prepare, the results are seen by the Dwarves as being well worth the wait.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Thunderguard.html,60
‒,dwarvish_thunderguard,‒,neutral,46,59,dwarvish_dragonguard,3,4,150,"It is not clear why the Dragonguards are called what they are, a name given by their dwarven brethren. Some speculate that the name comes from their weapon of choice, these strange staves that belch fire and death. Others have surmised that it is because such weapons would be a threat against even a true Dragon, should such a thing be seen again in the known world. Whatever the case, it is for these weapons that the guardians of the great Dwarven citadels are both renowned and feared; weapons that have broken the mightiest of warriors with a single blow.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Dragonguard.html,61
‒,‒,dwarvish_berserker,neutral,19,34,dwarvish_ulfserker,1,5,42,"Dwarves are an ancient race of powerful fighters. Ulfserkers are the most ferocious of these; in battle, they will work themselves into a blind rage wherein they feel neither fear nor pain, and will pay no heed to any wounds they receive.
Special Notes: Whenever its berserk attack is used, this unit continues to push the attack until either it or its enemy lies dead.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Ulfserker.html,62
‒,dwarvish_ulfserker,‒,neutral,33,48,dwarvish_berserker,2,5,100,"Berserkers are a rare caste of Dwarves, who work themselves into a towering rage before combat. These warriors disdain all notion of defense, thinking only of the unrelenting assaults for which they are legendary.
Special Notes: Whenever its berserk attack is used, this unit continues to push the attack until either it or its enemy lies dead.",https://units.wesnoth.org/1.14/mainline/en_US/Dwarvish%20Berserker.html,63
‒,‒,"elvish_ranger,elvish_marksman",neutral,17,29,elvish_archer,1,6,44,"As primarily foragers and hunters, most elves learn to become proficient archers from a young age. Besides being only a practical skill, archery is also a common pasttime and many competitions are held in sport for the entertainment of spectators and participants alike. This ability is readily turned to battle in times of war, where many elves will wield bows as their weapons of choice. Though not as sturdy as their human or orc counterparts, Elvish archers are still effective combatants, especially when fighting from the safety of their forests.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Archer.html,64
